,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0,1.0,1.0,1.0
Gaussian,0.0,0.0002,0.99999976,0.999999520031808,0.999999880051964
TinyImageNet (Crop),0.0734,0.06015,0.9872493600000001,0.9777278995160911,0.9934472400973986
TinyImageNet (Resize),0.07715829171338294,0.06183571501376006,0.9863996738354908,0.9759894513110096,0.9929842723940381
LSUN (Crop),0.1829,0.099,0.9686570200000001,0.9503047760407977,0.9829328026828327
LSUN (Resize),0.0778,0.0625,0.98663434,0.9765364847019796,0.9931578257283253
iSUN,0.08358543417366947,0.06468095238095238,0.9858493669467786,0.9771179025223427,0.991982679495933
SVHN,0.2465043023970498,0.11860709895513215,0.9556449677320221,0.8640304066489658,0.990231062977762
Cifar10,0.8714,0.3194,0.7220128,0.7262436339449458,0.6751226851801779
All,0.156543180178013,0.09805726886376392,0.9661323410311925,0.6522059134361107,0.998184418848151
