,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0363,0.0379,0.9735909699999999,0.9772353485135867,0.9588013974721973
Gaussian,0.0011,0.02085,0.98885256,0.9897021515279077,0.9842713519888788
TinyImageNet (Crop),0.159,0.08405,0.97098748,0.9574922077439009,0.9823319614392682
TinyImageNet (Resize),0.13760065232901844,0.07660471919274284,0.9747279278361023,0.9623955532564233,0.9846456185546633
LSUN (Crop),0.2386,0.1018,0.95996774,0.9423983821756846,0.9749621320923684
LSUN (Resize),0.0773,0.060649999999999996,0.9841114000000001,0.9762902471885272,0.9905205006797442
iSUN,0.10700280112044817,0.06877871148459384,0.9800977254901961,0.9728588950136333,0.9866558398634055
SVHN,0.47053626306084817,0.1648319299323909,0.9110324062692071,0.7764717890368754,0.9766917341974062
Cifar100,0.447,0.1639,0.90668132,0.9091926806491681,0.8939248153149832
All,0.21962954053403896,0.10934874508860556,0.9555662296527945,0.721872185990363,0.9971240430304287
