,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0030499999999999998,0.9997428199999999,0.9996728769754674,0.9998281203358083
Gaussian,0.0,0.0048000000000000004,0.9996544,0.9995296777638141,0.9997776163486968
TinyImageNet (Crop),0.1129,0.07025,0.97982926,0.9699045426012484,0.9881697229695774
TinyImageNet (Resize),0.09468963408419122,0.06373063907858526,0.9825223320762408,0.973210914169835,0.9898093890650853
LSUN (Crop),0.0885,0.0632,0.9839046200000001,0.9746201136622923,0.9910564467834742
LSUN (Resize),0.0636,0.053200000000000004,0.98725604,0.9807028772160005,0.9925505436412642
iSUN,0.07170868347338935,0.05585966386554622,0.9863606946778711,0.9811469981161239,0.9911294289667347
SVHN,0.03956668715427167,0.04447876459741856,0.9924057314074984,0.9694981832677962,0.9984750554672801
Cifar100,0.4856,0.1691,0.90439192,0.911119848939393,0.8914882647336796
imagenet_a,0.36706666666666665,0.12686666666666666,0.9386501866666668,0.9266780392991436,0.9495230526235152
imagenet_o,0.4165,0.1493,0.9247627,0.9683768304562013,0.8262620399718738
All,0.10307683859867482,0.07181225976498151,0.981003904162243,0.8222986756163624,0.9990437831973146
