,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0001,0.99999536,0.999991131498471,0.9999976530205947
Gaussian,0.0,5e-05,0.99999998,0.9999999600079984,0.9999999900009999
TinyImageNet (Crop),0.0212,0.033049999999999996,0.9951268800000002,0.991438008822163,0.9973754261934102
TinyImageNet (Resize),0.022729589236571195,0.03257267352971155,0.9955089593313629,0.9918655726970849,0.997623665730679
LSUN (Crop),0.0343,0.04165,0.99305762,0.9878951402438737,0.9963868401490381
LSUN (Resize),0.0093,0.02275,0.9976018,0.9958026952447504,0.998692537344526
iSUN,0.009971988795518208,0.022612885154061624,0.9975369187675069,0.9960370151834647,0.9985326997426722
SVHN,0.03276736324523663,0.035426889981561155,0.9936365396435156,0.9677300875663581,0.9987966309326917
Cifar100,0.5996,0.19669999999999999,0.8772457600000001,0.8872825094224464,0.8621644760431518
All,0.04822187474941865,0.0461358431561222,0.9901005031673482,0.8607210310607146,0.9994932158854151
