,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.172,0.05905,0.9704987199999999,0.9683669008938516,0.9734785271435173
Gaussian,0.0107,0.03015,0.9913315599999999,0.9894797151971849,0.9937837707724505
TinyImageNet (Crop),0.2479,0.09555,0.9624845000000001,0.9488920592831045,0.9762225140699099
TinyImageNet (Resize),0.24125981041687902,0.09656846396901436,0.9620448272347367,0.9477452587782171,0.9759142078967522
LSUN (Crop),0.1954,0.0876,0.9693059399999999,0.9567357175661493,0.9816199522827529
LSUN (Resize),0.2004,0.08615,0.9691193999999999,0.9571090695029861,0.9809732005589857
iSUN,0.2099719887955182,0.08904313725490196,0.9680418823529413,0.9593017033303697,0.9778963653788573
SVHN,0.050322679778733864,0.04979757221880762,0.9904241702519975,0.9615046031555787,0.998057504795455
Cifar100,0.5734,0.1755,0.88960664,0.8976967115094797,0.8671311141494668
All,0.1672079223799214,0.08414328441985405,0.9716196776521531,0.8168138786474772,0.9982820422519596
