,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,1.0,0.4174,0.35589666,0.4281735593891316,0.5453497175560504
Gaussian,1.0,0.4991,0.0661501,0.19784520664990174,0.4640578976287138
TinyImageNet (Crop),0.8975,0.3147,0.7212918399999999,0.6489421662113654,0.7971732106376881
TinyImageNet (Resize),0.9716644582611355,0.3483416573234125,0.6456324125981042,0.5747676394993821,0.7113473838993867
LSUN (Crop),0.27,0.13755,0.94617664,0.9067033516711935,0.9726198538360968
LSUN (Resize),0.9916,0.33345,0.6467257399999999,0.6089078991365964,0.6967347554341745
iSUN,0.9687394957983193,0.32924677871148456,0.6706821288515407,0.6431827221024475,0.7066000236780946
SVHN,0.019091886908420407,0.02773856791641057,0.9965011140135218,0.9825130660334211,0.9993349904642854
Cifar100,0.626,0.1982,0.87018496,0.8800135479475558,0.8515439272166929
All,0.6354442306150269,0.34158639243043865,0.7013710728891027,0.08270581056446147,0.9806445599046494
