,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0006000000000000001,0.9998004800000001,0.9998553156504761,0.9996627209409032
Gaussian,0.0,0.00015000000000000001,0.9998694600000001,0.9998866878878769,0.9998943091041816
TinyImageNet (Crop),0.0418,0.04545,0.9912571800000001,0.9857047946329222,0.994994734357102
TinyImageNet (Resize),0.04209560697176638,0.044626786260320045,0.9916117623076137,0.9858112251348807,0.9952180645981681
LSUN (Crop),0.0449,0.0465,0.9916146199999998,0.9856670208526339,0.9955956630046046
LSUN (Resize),0.0217,0.034449999999999995,0.9946715999999999,0.9912974199070681,0.9968037593737953
iSUN,0.020280112044817927,0.03280560224089636,0.9949823865546219,0.9923908545888845,0.996749696374577
SVHN,0.030270436385986477,0.032929348494161036,0.9941180700676091,0.9697087479778965,0.9988899765760018
Cifar100,0.6196,0.2015,0.8711736400000001,0.8821434193088049,0.8550054167180584
All,0.05576938497313768,0.05095961029588646,0.9884512468927913,0.8514278785839098,0.9993978086595593
