,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0003,0.01345,0.9979610600000001,0.9972821788789217,0.9986690695817211
Gaussian,0.0,0.0007999999999999999,0.99999136,0.9999833541120766,0.9999956387352755
TinyImageNet (Crop),0.1264,0.0692,0.9805294599999999,0.970981577524889,0.9888158622941086
TinyImageNet (Resize),0.11976353073081235,0.07164149424115787,0.980764407297931,0.9703388819263699,0.9891397158424866
LSUN (Crop),0.0981,0.06335,0.9838389000000001,0.9751301230584289,0.9910180913275599
LSUN (Resize),0.0848,0.059000000000000004,0.98672928,0.9791589682525563,0.9927335093309505
iSUN,0.0864985994397759,0.059150700280112045,0.9866618711484595,0.9808122954042175,0.991853798602932
SVHN,0.029310079901659496,0.03489551321450522,0.9948584357713584,0.975835934601293,0.9990127713003756
Cifar100,0.5262,0.1659,0.9034856000000001,0.9100310501951391,0.8885790740107871
All,0.08456619356908027,0.06321768101996633,0.9856298632828161,0.8624882250115518,0.9992259280013527
