,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0001,0.99999932,0.9999986491855384,0.9999996594718531
Gaussian,0.0,0.0,1.0,1.0,1.0
TinyImageNet (Crop),0.0191,0.03195,0.99566602,0.9923321157997755,0.9976901522822541
TinyImageNet (Resize),0.020283355417388644,0.03008230557537458,0.9959692997655692,0.9926217663095624,0.9978935803798153
LSUN (Crop),0.0323,0.040400000000000005,0.99344532,0.9886015415393619,0.9965839442942039
LSUN (Resize),0.008,0.020999999999999998,0.9979395799999999,0.9963598810801638,0.9988982794530695
iSUN,0.00918767507002801,0.02122857142857143,0.9978322913165266,0.996477278895599,0.998730336662765
SVHN,0.03503380454824831,0.037008297480024585,0.993469860172096,0.967657005279287,0.9987595605834416
Cifar100,0.5804,0.188,0.8837514799999999,0.8931270498531921,0.8691428063695437
All,0.04699903776762088,0.045471493865768584,0.9905819020126695,0.8673346328735129,0.9995181636597078
