,Uniform,Gaussian,TinyImageNet (Crop),TinyImageNet (Resize),LSUN (Crop),LSUN (Resize),iSUN,Cifar10,Cifar100,All
Max_out,0.9008845805162876,0.9780988744622005,0.9292493661647205,0.9343251364432519,0.8874974646588815,0.9262108942839582,0.9290943187354843,0.8892939305470189,0.883409980024585,0.9213290243608698
Max_relu_0,0.0848981253841426,8.798401966810063e-05,0.0781437922556853,0.04112580647626747,0.27085303472649047,0.01678480716041794,0.03629573771733647,0.10560082974800246,0.1165539028887523,0.08059687874814198
Max_relu_1,0.25834859403810695,0.13792723186846959,0.24010276198524894,0.20597627598614426,0.34754478718500303,0.1842804471419791,0.21488962518012739,0.34949724953902894,0.3392182390903503,0.24212988739290375
Max_relu_2,0.00016962200368776317,0.0,0.08348214121081744,0.040073511838404755,0.2760201482790411,0.011170566994468339,0.029338138451446973,0.21064283189920094,0.21829630454824828,0.0826575464519806
Max_relu_3,0.0006132068223724647,2.980946527350957e-06,0.028902715888137673,0.0071098094803087476,0.24600899661954517,0.0014143208358942776,0.004626023734632144,0.04903729256299938,0.06759028119237862,0.04399006404369742
Max_relu_4,0.00011860018438844497,0.00012972111247695143,0.0204096996004917,0.008007366422684372,0.2399765173632452,0.0028042947141979067,0.0038957525235047835,0.0223415258143823,0.04318113091579594,0.03905877205654504
Max_relu_5,0.13009164105716042,0.014032721266133988,0.1445107291026429,0.10216156970930049,0.3178049208666257,0.05672294867854948,0.08561925507756882,0.14943965119852487,0.1573879532882606,0.12614593888602801
Max_relu_6,0.025771166256914568,0.011694257068223723,0.1306886332206515,0.08293976108499818,0.43432834588199143,0.03635098724646589,0.064065149723073,0.13098160725261218,0.15670306545789797,0.11700188881297456
Max_relu_7,0.00025809772587584505,7.533804548248308e-05,0.009223236785494773,0.003532212879977363,0.16843858328211436,0.002106188537185001,0.0031120585911069976,0.01806336047940996,0.023584641979102632,0.02631177758007995
Max_relu_8,6.79778733866011e-05,5.869698832206508e-06,0.015168799938537184,0.005537714431520335,0.21865253534111861,0.0014542332513829016,0.0033113952403333717,0.027541694837123536,0.0426339582052858,0.03541273553459972
Max_relu_9,0.001872172710510141,0.0012209088813767669,0.05326332974800245,0.029351203636874608,0.3273742317148125,0.02061298786109404,0.02619755216161449,0.05862351720958821,0.07829322372464659,0.066675952877374
Max_relu_10,0.008427712046711739,0.004478918254456054,0.044790588506453594,0.02981260153095095,0.22757882606023355,0.029548605562384755,0.026952150251618776,0.10093262138905962,0.10148176859250155,0.05960879177029643
Max_relu_11,0.002429160264290104,0.004831088660110632,0.030300787492317148,0.020572188674491218,0.20578799554394592,0.020775211278426544,0.01999721953932156,0.023821442839582048,0.02908251382913337,0.04173530714296331
Max_relu_12,0.1645777274124155,0.08702051705593117,0.17512141210817456,0.14535027398908829,0.3138033458819914,0.10375029194837125,0.11611631192120364,0.17964533650891212,0.18098060079901662,0.1614030716903598
Max_relu_13,0.0006988091579594345,0.0022266057160417944,0.015630500921942226,0.009923940784452455,0.1959856676398279,0.009490576982175774,0.009073637445144004,0.014544837123540252,0.01989420712968655,0.03290569526874338
Max_relu_14,0.11972802320221268,0.07772163106945298,0.15987204978488015,0.12916462881715812,0.4167214543638598,0.09282430854333128,0.12558631565717868,0.11187234173325139,0.13607725875845114,0.15617398283709283
Max_relu_15,0.8991220305777503,0.8526494353103873,0.7828346342962509,0.801944704359224,0.7834264213275968,0.7960928664720344,0.8247443353493824,0.5862635218192993,0.5869324293177628,0.7904383804484237
Max_relu_16,0.0005380377996312231,0.0007597341733251381,0.014045682237246462,0.009305440276668495,0.1596062692071297,0.009501482790411795,0.007586611780545037,0.014581468961278423,0.01846128610940382,0.02754435102274199
Max_relu_17,0.7122753879840197,0.09357344422249537,0.5896247964044253,0.5907918847220457,0.7233065842040565,0.6206417102028273,0.6427330292903886,0.3558556315304241,0.33690142132759676,0.5383897576952481
Max_relu_18,0.6943581284572834,0.5691525507068224,0.5464196373693915,0.5368872504721536,0.5245214389981561,0.526922491548863,0.5387074731552117,0.4123403733866011,0.4250948217578365,0.5445575525657884
Max_relu_19,0.10449442224953903,0.21350280039950828,0.16144970036877687,0.16426653439621633,0.29905021127842657,0.1705794483712354,0.15329281435991732,0.12294926244622004,0.128047672095882,0.1743231537861831
