,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.00026889981561155503,0.9999886293792256,0.999992116490641,0.9999840456995595
Gaussian,0.0,3.8414259373079284e-05,0.9999998002458512,0.9999998468377942,0.9999997397005089
TinyImageNet (Crop),0.0008,0.008897510755992624,0.9995194452980947,0.9996503945164827,0.9993352948868471
TinyImageNet (Resize),0.000407705636530425,0.00860840412374079,0.9996192246739342,0.9997261954652586,0.9994712826201126
LSUN (Crop),0.0045,0.0175559926244622,0.9982687692071298,0.9987230303123934,0.9976956388451325
LSUN (Resize),0.0003,0.006556668715427166,0.9997558312845729,0.999824457591488,0.9996571565269743
iSUN,0.0004481792717086835,0.006560901557918803,0.999744498905893,0.9998334705070884,0.9996052538861084
Cifar10,0.0166,0.030771173939766437,0.994541241548863,0.9980360306645369,0.9836957063816862
Cifar100,0.0404,0.04444363859864782,0.9908513214505226,0.996570640749149,0.9755998539078405
imagenet_a,0.015866666666666668,0.029628908010653557,0.9954774533906986,0.9975555501276452,0.9914384728573176
imagenet_o,0.0755,0.058861862323294406,0.9863010525507069,0.9978104570719005,0.9280430700899056
All,0.007015277211115644,0.019668800854878963,0.9981294986251461,0.990035198289332,0.9997145045741473
