,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0053,0.02230838967424708,0.9956801090964966,0.9973130451310647,0.9919465354563953
Gaussian,0.0025,0.01735780577750461,0.9972353872157345,0.9982517832694418,0.9952169445063925
TinyImageNet (Crop),0.0248,0.03691014136447449,0.9918239935464044,0.9946040679322252,0.9869741470392801
TinyImageNet (Resize),0.028233615329731933,0.03885021873457517,0.9915352215884521,0.9944551438707933,0.9863013806317725
LSUN (Crop),0.038,0.043463183773816846,0.9912984941610326,0.9938532062096883,0.9878605792988544
LSUN (Resize),0.0311,0.03976502765826675,0.9917029886293793,0.9943239221597553,0.987218500250487
iSUN,0.02072829131652661,0.03443231687266179,0.9932982633741879,0.9959485325345319,0.9882428714846128
Cifar10,0.0962,0.06167092808850645,0.9786931929932391,0.9924032721998994,0.9269187448094197
Cifar100,0.1152,0.06877092808850646,0.9760665949600491,0.9912097028340142,0.9239615325921792
All,0.03220890062995326,0.040689162585694785,0.9912155522997846,0.9701226381779398,0.9982092661752348
