,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0003,0.00980359557467732,0.9993705362630607,0.9995445936768672,0.9991485468477036
Gaussian,0.0002,0.008688967424708052,0.9994589197910264,0.9996054126054226,0.9992735174688137
TinyImageNet (Crop),0.0142,0.03059735709895513,0.9946894744929317,0.9963310040302956,0.9924183131990663
TinyImageNet (Resize),0.01661400468861482,0.03184189713551708,0.9945228728938836,0.9962361127466498,0.9921773177243287
LSUN (Crop),0.0378,0.042777781192378614,0.9915474492931776,0.9939483574273233,0.9884928509834923
LSUN (Resize),0.0282,0.0387759680393362,0.9919038875230485,0.9942094021674341,0.9887857827037636
iSUN,0.01837535014005602,0.033025399465256296,0.9943098689998433,0.9964545215914575,0.9909824206044129
Cifar10,0.0598,0.04949176398279041,0.9863379532882606,0.994871896915087,0.9612960561531222
Cifar100,0.064,0.05356859250153657,0.984930393362016,0.9940701214696194,0.9595592189070848
All,0.022264275553749237,0.03532781687603284,0.9939230325857209,0.9759578143454274,0.9988978168910408
