,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.1079,0.06378248309772587,0.975957652120467,0.9853720895916245,0.9489821559918511
Gaussian,0.1956,0.08243973570989552,0.9626795328826061,0.9768574593499963,0.915854685790959
TinyImageNet (Crop),0.3383,0.11551828518746157,0.9393205132145053,0.9580903203341382,0.8895872898868951
TinyImageNet (Resize),0.3641830598308022,0.12142416534205144,0.9337206140117051,0.9546867783840634,0.8727126666508356
LSUN (Crop),0.2436,0.11005977258758451,0.9500838352796558,0.9615574131094619,0.9323921674985365
LSUN (Resize),0.4527,0.1485041794714198,0.9129327443146897,0.937045944121449,0.8402059981556069
iSUN,0.40190476190476193,0.13182819163313758,0.9253756118304728,0.9516261202448444,0.8472796365994051
Cifar10,0.3606,0.12413226797787338,0.9342645359557468,0.9745670220465232,0.7930310859336236
Cifar100,0.37,0.1281298709280885,0.9305057314074985,0.9715545704669908,0.7965095743308002
All,0.30728002438528756,0.114788243210145,0.9417966926766825,0.818410539839318,0.9856259938396436
