,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.005726183159188691,0.9998421250768285,0.9998810872873105,0.999793209741388
Gaussian,0.0,0.005272526121696374,0.9998730178242163,0.9999037488677853,0.9998344395310692
TinyImageNet (Crop),0.0073,0.02153036263060848,0.9973972572218809,0.9981383711259537,0.9964654978469442
TinyImageNet (Resize),0.010396493731525838,0.023499593296712914,0.997217008090902,0.9980203486375246,0.9962123698551237
LSUN (Crop),0.0213,0.03433331284572834,0.9946852566072526,0.996140132148428,0.992965867644017
LSUN (Resize),0.0143,0.027467547633681623,0.9964599646588814,0.9974079229147093,0.9953460393051929
iSUN,0.007619047619047619,0.023124036953441486,0.9974721824808594,0.9983523262656864,0.9962372586857875
Cifar10,0.0376,0.0432259987707437,0.9905154578979718,0.9964909577291806,0.9740937355688031
Cifar100,0.05,0.049630239704978485,0.9887689766441301,0.995748819493773,0.970764105509412
All,0.013170595407437513,0.02677455143448415,0.9965598161148982,0.9849340708551035,0.9994006825194091
