,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0004573140749846343,0.9999952135832821,0.9999964402788768,0.9999936319472228
Gaussian,0.0,0.00031524277811923785,0.9999990012292563,0.9999992364379361,0.999998696282624
TinyImageNet (Crop),0.0001,0.005285341118623233,0.9997865780577752,0.999846630171726,0.9997054331848972
TinyImageNet (Resize),0.00010192640913260625,0.00530527507695068,0.9998208222059495,0.999871648417163,0.9997525419538604
LSUN (Crop),0.0022,0.0135920098340504,0.9988644744929317,0.9991871533332036,0.9984302828945428
LSUN (Resize),0.0001,0.004373755377996312,0.9998740242778119,0.9999074309492904,0.9998306987901875
iSUN,0.0,0.0034653363496597164,0.9999053954710342,0.9999381506089863,0.999856281080232
Cifar10,0.0046,0.016601720958819913,0.998265012292563,0.9993616993431657,0.9950703719189606
Cifar100,0.0054,0.01933220651505839,0.9976883527965581,0.9991274115004858,0.9938387509463407
All,0.0009525502946555578,0.008651959097564506,0.9995219147924421,0.997636952758256,0.999918427711421
