,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.1343,0.06176115550092194,0.9729122157344806,0.984312655911759,0.9317820884090116
Gaussian,0.1799,0.0700500921942225,0.9677269053472649,0.9813023409883255,0.9186233008436004
TinyImageNet (Crop),0.1574,0.07334038106945298,0.9718128303626307,0.9821960129670242,0.9494587707443847
TinyImageNet (Resize),0.19427173580674753,0.08092362523231797,0.9663575034657799,0.9789755571822437,0.9358747648135153
LSUN (Crop),0.091,0.06254658881376768,0.9828231484326984,0.987926774740514,0.9759861202747177
LSUN (Resize),0.1878,0.08510070682237247,0.9649426705593116,0.9772717057378442,0.9339055087053993
iSUN,0.1634733893557423,0.07562095950857295,0.9703997321116522,0.9829523673406717,0.9377722705807597
Cifar10,0.3028,0.09746705593116164,0.9525619698832207,0.9830767392022239,0.8298580162877144
Cifar100,0.315,0.10671880762138906,0.9484078057775046,0.9804357358982044,0.8355478404341093
All,0.17727596017069702,0.07781931546710927,0.9684106083401081,0.9177944345273914,0.9922413206265369
