,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0656,0.049151475107559926,0.9841234557467732,0.9903059964486356,0.9700951366709396
Gaussian,0.0652,0.049790503995082974,0.9837529886293792,0.9900229823572226,0.9691981585991706
TinyImageNet (Crop),0.1134,0.06375691456668715,0.9771703365089122,0.9854274392770486,0.9593395068228334
TinyImageNet (Resize),0.1273060850066252,0.06585395129596579,0.9754647487169457,0.9843900486402604,0.955525949021734
LSUN (Crop),0.1154,0.06853555623847572,0.977868630915796,0.9847974181930191,0.9661767096226369
LSUN (Resize),0.1653,0.07820381069452981,0.9692181622618316,0.9793593778665074,0.9473480143731468
iSUN,0.14028011204481794,0.07079497933162202,0.9738348750686509,0.9846045694921544,0.9493462485977302
Cifar10,0.1432,0.07006539643515672,0.9733314996926858,0.9904057840461947,0.9121038469524113
Cifar100,0.1604,0.07682083589428396,0.9689509987707438,0.9879210172645487,0.9047426813273034
All,0.11770981507823614,0.0656667681887654,0.9766118312156286,0.933574804077903,0.9945199282683472
